"trainer/global_step","finetune-200-epochs-from-new-weights - _step","finetune-200-epochs-from-new-weights - _step__MIN","finetune-200-epochs-from-new-weights - _step__MAX","finetune-200-epochs-from-new-weights - val_mean_loss_dice","finetune-200-epochs-from-new-weights - val_mean_loss_dice__MIN","finetune-200-epochs-from-new-weights - val_mean_loss_dice__MAX","finetune-200-epochs-from-synthetic-1399-epochs - _step","finetune-200-epochs-from-synthetic-1399-epochs - _step__MIN","finetune-200-epochs-from-synthetic-1399-epochs - _step__MAX","finetune-200-epochs-from-synthetic-1399-epochs - val_mean_loss_dice","finetune-200-epochs-from-synthetic-1399-epochs - val_mean_loss_dice__MIN","finetune-200-epochs-from-synthetic-1399-epochs - val_mean_loss_dice__MAX","finetune-200-epochs-from-synthetic-1199-epochs - _step","finetune-200-epochs-from-synthetic-1199-epochs - _step__MIN","finetune-200-epochs-from-synthetic-1199-epochs - _step__MAX","finetune-200-epochs-from-synthetic-1199-epochs - val_mean_loss_dice","finetune-200-epochs-from-synthetic-1199-epochs - val_mean_loss_dice__MIN","finetune-200-epochs-from-synthetic-1199-epochs - val_mean_loss_dice__MAX","finetune-200-epochs-from-synthetic-999-epochs - _step","finetune-200-epochs-from-synthetic-999-epochs - _step__MIN","finetune-200-epochs-from-synthetic-999-epochs - _step__MAX","finetune-200-epochs-from-synthetic-999-epochs - val_mean_loss_dice","finetune-200-epochs-from-synthetic-999-epochs - val_mean_loss_dice__MIN","finetune-200-epochs-from-synthetic-999-epochs - val_mean_loss_dice__MAX","finetune-200-epochs-from-synthetic-799-epochs - _step","finetune-200-epochs-from-synthetic-799-epochs - _step__MIN","finetune-200-epochs-from-synthetic-799-epochs - _step__MAX","finetune-200-epochs-from-synthetic-799-epochs - val_mean_loss_dice","finetune-200-epochs-from-synthetic-799-epochs - val_mean_loss_dice__MIN","finetune-200-epochs-from-synthetic-799-epochs - val_mean_loss_dice__MAX","finetune-200-epochs-from-synthetic-199-epochs - _step","finetune-200-epochs-from-synthetic-199-epochs - _step__MIN","finetune-200-epochs-from-synthetic-199-epochs - _step__MAX","finetune-200-epochs-from-synthetic-199-epochs - val_mean_loss_dice","finetune-200-epochs-from-synthetic-199-epochs - val_mean_loss_dice__MIN","finetune-200-epochs-from-synthetic-199-epochs - val_mean_loss_dice__MAX","finetune-200-epochs-from-synthetic-599-epochs - _step","finetune-200-epochs-from-synthetic-599-epochs - _step__MIN","finetune-200-epochs-from-synthetic-599-epochs - _step__MAX","finetune-200-epochs-from-synthetic-599-epochs - val_mean_loss_dice","finetune-200-epochs-from-synthetic-599-epochs - val_mean_loss_dice__MIN","finetune-200-epochs-from-synthetic-599-epochs - val_mean_loss_dice__MAX"
"849","86","86","86","1.7717798948287964","1.7717798948287964","1.7717798948287964","85","85","85","0.7729061245918274","0.7729061245918274","0.7729061245918274","85","85","85","0.7799963355064392","0.7799963355064392","0.7799963355064392","85","85","85","0.910404622554779","0.910404622554779","0.910404622554779","85","85","85","0.9199973940849304","0.9199973940849304","0.9199973940849304","257.5","85","430","1.625841736793518","1.620203971862793","1.6314795017242432","257.5","85","430","1.0725065469741821","1.029966115951538","1.1150469779968262"
"1699","176","176","176","1.695069670677185","1.695069670677185","1.695069670677185","171","171","171","0.6155139803886414","0.6155139803886414","0.6155139803886414","171","171","171","0.6020100712776184","0.6020100712776184","0.6020100712776184","171","171","171","0.6813944578170776","0.6813944578170776","0.6813944578170776","171","171","171","0.6549620032310486","0.6549620032310486","0.6549620032310486","343.5","171","516","1.1532791256904602","1.026916742324829","1.2796415090560913","343.5","171","516","0.8164986968040466","0.7971186637878418","0.8358787298202515"
"2549","262","262","262","1.3348345756530762","1.3348345756530762","1.3348345756530762","257","257","257","0.5197606086730957","0.5197606086730957","0.5197606086730957","257","257","257","0.564486026763916","0.564486026763916","0.564486026763916","257","257","257","0.544498860836029","0.544498860836029","0.544498860836029","257","257","257","0.5695655345916748","0.5695655345916748","0.5695655345916748","429.5","257","602","0.9435227811336517","0.8668895363807678","1.0201560258865356","429.5","257","602","0.6898321807384491","0.6409665942192078","0.7386977672576904"
"3399","348","348","348","1.0121692419052124","1.0121692419052124","1.0121692419052124","343","343","343","0.5925179719924927","0.5925179719924927","0.5925179719924927","343","343","343","0.5132962465286255","0.5132962465286255","0.5132962465286255","343","343","343","0.5826543569564819","0.5826543569564819","0.5826543569564819","343","343","343","0.5168941617012024","0.5168941617012024","0.5168941617012024","515.5","343","688","0.7521153092384338","0.7444586753845215","0.7597719430923462","515.5","343","688","0.5686741471290588","0.5204702019691467","0.616878092288971"
"4249","434","434","434","1.0193846225738525","1.0193846225738525","1.0193846225738525","429","429","429","0.4862886667251587","0.4862886667251587","0.4862886667251587","429","429","429","0.46234190464019775","0.46234190464019775","0.46234190464019775","429","429","429","0.5399357676506042","0.5399357676506042","0.5399357676506042","429","429","429","0.5465824604034424","0.5465824604034424","0.5465824604034424","774","774","774","0.7085861563682556","0.7085861563682556","0.7085861563682556","774","774","774","0.5520747303962708","0.5520747303962708","0.5520747303962708"
"5099","520","520","520","0.7049107551574707","0.7049107551574707","0.7049107551574707","515","515","515","0.5123941898345947","0.5123941898345947","0.5123941898345947","515","515","515","0.4779530167579651","0.4779530167579651","0.4779530167579651","515","515","515","0.4931796193122864","0.4931796193122864","0.4931796193122864","515","515","515","0.48127642273902893","0.48127642273902893","0.48127642273902893","860","860","860","0.6194978952407837","0.6194978952407837","0.6194978952407837","860","860","860","0.5354239344596863","0.5354239344596863","0.5354239344596863"
"5949","606","606","606","0.7838379144668579","0.7838379144668579","0.7838379144668579","601","601","601","0.4205981194972992","0.4205981194972992","0.4205981194972992","601","601","601","0.47543901205062866","0.47543901205062866","0.47543901205062866","","","","","","","601","601","601","0.4431258738040924","0.4431258738040924","0.4431258738040924","946","946","946","0.5558355450630188","0.5558355450630188","0.5558355450630188","946","946","946","0.4544491767883301","0.4544491767883301","0.4544491767883301"
"6799","692","692","692","0.8051482439041138","0.8051482439041138","0.8051482439041138","687","687","687","0.4127412736415863","0.4127412736415863","0.4127412736415863","687","687","687","0.480838418006897","0.480838418006897","0.480838418006897","","","","","","","687","687","687","0.4779210090637207","0.4779210090637207","0.4779210090637207","1032","1032","1032","0.6177371740341187","0.6177371740341187","0.6177371740341187","1032","1032","1032","0.44606414437294006","0.44606414437294006","0.44606414437294006"
