"trainer/global_step","finetune-200-epochs-from-new-weights - _step","finetune-200-epochs-from-new-weights - _step__MIN","finetune-200-epochs-from-new-weights - _step__MAX","finetune-200-epochs-from-new-weights - train_loss_mean","finetune-200-epochs-from-new-weights - train_loss_mean__MIN","finetune-200-epochs-from-new-weights - train_loss_mean__MAX","finetune-200-epochs-from-synthetic-1399-epochs - _step","finetune-200-epochs-from-synthetic-1399-epochs - _step__MIN","finetune-200-epochs-from-synthetic-1399-epochs - _step__MAX","finetune-200-epochs-from-synthetic-1399-epochs - train_loss_mean","finetune-200-epochs-from-synthetic-1399-epochs - train_loss_mean__MIN","finetune-200-epochs-from-synthetic-1399-epochs - train_loss_mean__MAX","finetune-200-epochs-from-synthetic-1199-epochs - _step","finetune-200-epochs-from-synthetic-1199-epochs - _step__MIN","finetune-200-epochs-from-synthetic-1199-epochs - _step__MAX","finetune-200-epochs-from-synthetic-1199-epochs - train_loss_mean","finetune-200-epochs-from-synthetic-1199-epochs - train_loss_mean__MIN","finetune-200-epochs-from-synthetic-1199-epochs - train_loss_mean__MAX","finetune-200-epochs-from-synthetic-999-epochs - _step","finetune-200-epochs-from-synthetic-999-epochs - _step__MIN","finetune-200-epochs-from-synthetic-999-epochs - _step__MAX","finetune-200-epochs-from-synthetic-999-epochs - train_loss_mean","finetune-200-epochs-from-synthetic-999-epochs - train_loss_mean__MIN","finetune-200-epochs-from-synthetic-999-epochs - train_loss_mean__MAX","finetune-200-epochs-from-synthetic-799-epochs - _step","finetune-200-epochs-from-synthetic-799-epochs - _step__MIN","finetune-200-epochs-from-synthetic-799-epochs - _step__MAX","finetune-200-epochs-from-synthetic-799-epochs - train_loss_mean","finetune-200-epochs-from-synthetic-799-epochs - train_loss_mean__MIN","finetune-200-epochs-from-synthetic-799-epochs - train_loss_mean__MAX","finetune-200-epochs-from-synthetic-199-epochs - _step","finetune-200-epochs-from-synthetic-199-epochs - _step__MIN","finetune-200-epochs-from-synthetic-199-epochs - _step__MAX","finetune-200-epochs-from-synthetic-199-epochs - train_loss_mean","finetune-200-epochs-from-synthetic-199-epochs - train_loss_mean__MIN","finetune-200-epochs-from-synthetic-199-epochs - train_loss_mean__MAX","finetune-200-epochs-from-synthetic-599-epochs - _step","finetune-200-epochs-from-synthetic-599-epochs - _step__MIN","finetune-200-epochs-from-synthetic-599-epochs - _step__MAX","finetune-200-epochs-from-synthetic-599-epochs - train_loss_mean","finetune-200-epochs-from-synthetic-599-epochs - train_loss_mean__MIN","finetune-200-epochs-from-synthetic-599-epochs - train_loss_mean__MAX"
"186","17","17","17","164.43150329589844","164.43150329589844","164.43150329589844","17","17","17","100.6151123046875","100.6151123046875","100.6151123046875","17","17","17","104.78042602539062","104.78042602539062","104.78042602539062","17","17","17","114.78884887695312","114.78884887695312","114.78884887695312","17","17","17","122.68231201171875","122.68231201171875","122.68231201171875","189.5","17","362","147.595703125","147.58114624023438","147.61026000976562","189.5","17","362","132.0629653930664","131.89157104492188","132.23435974121094"
"203","20","20","20","163.9132537841797","163.9132537841797","163.9132537841797","20","20","20","98.3392105102539","98.3392105102539","98.3392105102539","20","20","20","105.99118041992188","105.99118041992188","105.99118041992188","20","20","20","112.85655212402344","112.85655212402344","112.85655212402344","20","20","20","120.88533782958984","120.88533782958984","120.88533782958984","192.5","20","365","147.57135772705078","147.39639282226562","147.74632263183594","192.5","20","365","130.23281860351562","130.03854370117188","130.42709350585938"
"220","21","21","21","163.70689392089844","163.70689392089844","163.70689392089844","21","21","21","98.51319885253906","98.51319885253906","98.51319885253906","21","21","21","102.40650177001953","102.40650177001953","102.40650177001953","21","21","21","111.15778350830078","111.15778350830078","111.15778350830078","21","21","21","120.97444152832031","120.97444152832031","120.97444152832031","193.5","21","366","146.72560119628906","146.48342895507812","146.9677734375","193.5","21","366","130.63717651367188","130.17396545410156","131.1003875732422"
"237","22","22","22","163.15188598632812","163.15188598632812","163.15188598632812","22","22","22","96.55007934570312","96.55007934570312","96.55007934570312","22","22","22","101.226318359375","101.226318359375","101.226318359375","22","22","22","110.35594940185547","110.35594940185547","110.35594940185547","22","22","22","121.43045806884766","121.43045806884766","121.43045806884766","194.5","22","367","146.6476593017578","146.1630401611328","147.1322784423828","194.5","22","367","128.9812469482422","128.3617401123047","129.6007537841797"
"254","25","25","25","162.1331329345703","162.1331329345703","162.1331329345703","25","25","25","97.57410430908203","97.57410430908203","97.57410430908203","25","25","25","103.787353515625","103.787353515625","103.787353515625","25","25","25","109.7667236328125","109.7667236328125","109.7667236328125","25","25","25","119.76963806152344","119.76963806152344","119.76963806152344","197.5","25","370","146.08988189697266","146.0698699951172","146.10989379882812","197.5","25","370","127.4687614440918","127.13240814208984","127.80511474609375"
"271","26","26","26","162.30653381347656","162.30653381347656","162.30653381347656","26","26","26","97.15308380126953","97.15308380126953","97.15308380126953","26","26","26","99.8995361328125","99.8995361328125","99.8995361328125","26","26","26","108.74467468261719","108.74467468261719","108.74467468261719","26","26","26","121.0780258178711","121.0780258178711","121.0780258178711","198.5","26","371","146.21363067626953","145.82528686523438","146.6019744873047","198.5","26","371","127.59672927856445","126.27933502197266","128.91412353515625"
"288","27","27","27","162.23426818847656","162.23426818847656","162.23426818847656","27","27","27","92.63265228271484","92.63265228271484","92.63265228271484","27","27","27","97.99590301513672","97.99590301513672","97.99590301513672","27","27","27","108.62505340576172","108.62505340576172","108.62505340576172","27","27","27","118.06336975097656","118.06336975097656","118.06336975097656","199.5","27","372","145.75389862060547","145.47427368164062","146.0335235595703","199.5","27","372","125.92846298217773","125.31046295166016","126.54646301269531"
"305","30","30","30","161.50343322753906","161.50343322753906","161.50343322753906","30","30","30","90.2221450805664","90.2221450805664","90.2221450805664","30","30","30","100.60640716552734","100.60640716552734","100.60640716552734","30","30","30","104.44613647460938","104.44613647460938","104.44613647460938","30","30","30","116.86841583251953","116.86841583251953","116.86841583251953","202.5","30","375","146.42764282226562","145.7451171875","147.11016845703125","202.5","30","375","125.6498908996582","125.58577728271484","125.71400451660156"
"322","31","31","31","161.42930603027344","161.42930603027344","161.42930603027344","31","31","31","92.26359558105469","92.26359558105469","92.26359558105469","31","31","31","97.47423553466797","97.47423553466797","97.47423553466797","31","31","31","104.25391387939453","104.25391387939453","104.25391387939453","31","31","31","114.08111572265625","114.08111572265625","114.08111572265625","203.5","31","376","144.38111114501953","144.35147094726562","144.41075134277344","203.5","31","376","125.1039924621582","124.03916931152344","126.16881561279297"
"339","32","32","32","161.06707763671875","161.06707763671875","161.06707763671875","32","32","32","92.77919006347656","92.77919006347656","92.77919006347656","32","32","32","97.65664672851562","97.65664672851562","97.65664672851562","32","32","32","105.51984405517578","105.51984405517578","105.51984405517578","32","32","32","114.36247253417969","114.36247253417969","114.36247253417969","204.5","32","377","145.14324188232422","144.3936309814453","145.89285278320312","204.5","32","377","124.45021057128906","124.13864135742188","124.76177978515625"
