"trainer/global_step","finetune-200-epochs-from-new-weights - _step","finetune-200-epochs-from-new-weights - _step__MIN","finetune-200-epochs-from-new-weights - _step__MAX","finetune-200-epochs-from-new-weights - train_loss_mean","finetune-200-epochs-from-new-weights - train_loss_mean__MIN","finetune-200-epochs-from-new-weights - train_loss_mean__MAX","finetune-200-epochs-from-synthetic-1399-epochs - _step","finetune-200-epochs-from-synthetic-1399-epochs - _step__MIN","finetune-200-epochs-from-synthetic-1399-epochs - _step__MAX","finetune-200-epochs-from-synthetic-1399-epochs - train_loss_mean","finetune-200-epochs-from-synthetic-1399-epochs - train_loss_mean__MIN","finetune-200-epochs-from-synthetic-1399-epochs - train_loss_mean__MAX","finetune-200-epochs-from-synthetic-1199-epochs - _step","finetune-200-epochs-from-synthetic-1199-epochs - _step__MIN","finetune-200-epochs-from-synthetic-1199-epochs - _step__MAX","finetune-200-epochs-from-synthetic-1199-epochs - train_loss_mean","finetune-200-epochs-from-synthetic-1199-epochs - train_loss_mean__MIN","finetune-200-epochs-from-synthetic-1199-epochs - train_loss_mean__MAX","finetune-200-epochs-from-synthetic-999-epochs - _step","finetune-200-epochs-from-synthetic-999-epochs - _step__MIN","finetune-200-epochs-from-synthetic-999-epochs - _step__MAX","finetune-200-epochs-from-synthetic-999-epochs - train_loss_mean","finetune-200-epochs-from-synthetic-999-epochs - train_loss_mean__MIN","finetune-200-epochs-from-synthetic-999-epochs - train_loss_mean__MAX","finetune-200-epochs-from-synthetic-799-epochs - _step","finetune-200-epochs-from-synthetic-799-epochs - _step__MIN","finetune-200-epochs-from-synthetic-799-epochs - _step__MAX","finetune-200-epochs-from-synthetic-799-epochs - train_loss_mean","finetune-200-epochs-from-synthetic-799-epochs - train_loss_mean__MIN","finetune-200-epochs-from-synthetic-799-epochs - train_loss_mean__MAX","finetune-200-epochs-from-synthetic-199-epochs - _step","finetune-200-epochs-from-synthetic-199-epochs - _step__MIN","finetune-200-epochs-from-synthetic-199-epochs - _step__MAX","finetune-200-epochs-from-synthetic-199-epochs - train_loss_mean","finetune-200-epochs-from-synthetic-199-epochs - train_loss_mean__MIN","finetune-200-epochs-from-synthetic-199-epochs - train_loss_mean__MAX","finetune-200-epochs-from-synthetic-599-epochs - _step","finetune-200-epochs-from-synthetic-599-epochs - _step__MIN","finetune-200-epochs-from-synthetic-599-epochs - _step__MAX","finetune-200-epochs-from-synthetic-599-epochs - train_loss_mean","finetune-200-epochs-from-synthetic-599-epochs - train_loss_mean__MIN","finetune-200-epochs-from-synthetic-599-epochs - train_loss_mean__MAX"
"1359","141","141","141","156.3369903564453","156.3369903564453","156.3369903564453","136","136","136","66.92794799804688","66.92794799804688","66.92794799804688","136","136","136","71.17096710205078","71.17096710205078","71.17096710205078","136","136","136","76.00878143310547","76.00878143310547","76.00878143310547","136","136","136","77.0589370727539","77.0589370727539","77.0589370727539","308.5","136","481","124.77022933959961","119.76129913330078","129.77915954589844","308.5","136","481","86.13331985473633","83.53507995605469","88.73155975341797"
"1376","142","142","142","155.6155242919922","155.6155242919922","155.6155242919922","137","137","137","66.88809204101562","66.88809204101562","66.88809204101562","137","137","137","66.2085952758789","66.2085952758789","66.2085952758789","137","137","137","73.769775390625","73.769775390625","73.769775390625","137","137","137","74.25697326660156","74.25697326660156","74.25697326660156","309.5","137","482","123.79420852661133","118.35810089111328","129.23031616210938","309.5","137","482","86.06698226928711","85.73946380615234","86.39450073242188"
"1393","143","143","143","156.4834442138672","156.4834442138672","156.4834442138672","138","138","138","65.84479522705078","65.84479522705078","65.84479522705078","138","138","138","68.23953247070312","68.23953247070312","68.23953247070312","138","138","138","73.77937316894531","73.77937316894531","73.77937316894531","138","138","138","78.34314727783203","78.34314727783203","78.34314727783203","310.5","138","483","123.95515060424805","119.04393768310547","128.86636352539062","310.5","138","483","80.26907730102539","78.08783721923828","82.4503173828125"
"1410","146","146","146","156.61949157714844","156.61949157714844","156.61949157714844","141","141","141","69.77831268310547","69.77831268310547","69.77831268310547","141","141","141","70.80302429199219","70.80302429199219","70.80302429199219","141","141","141","71.91941833496094","71.91941833496094","71.91941833496094","141","141","141","77.61589813232422","77.61589813232422","77.61589813232422","313.5","141","486","121.56870651245117","113.50582122802734","129.631591796875","313.5","141","486","85.53413391113281","84.9765396118164","86.09172821044922"
"1427","147","147","147","156.37657165527344","156.37657165527344","156.37657165527344","142","142","142","68.04745483398438","68.04745483398438","68.04745483398438","142","142","142","69.06428527832031","69.06428527832031","69.06428527832031","142","142","142","72.62703704833984","72.62703704833984","72.62703704833984","142","142","142","74.51988983154297","74.51988983154297","74.51988983154297","314.5","142","487","121.54712295532227","114.2225570678711","128.87168884277344","314.5","142","487","84.20680618286133","82.41613006591797","85.99748229980469"
"1444","148","148","148","155.72044372558594","155.72044372558594","155.72044372558594","143","143","143","65.2900619506836","65.2900619506836","65.2900619506836","143","143","143","68.68588256835938","68.68588256835938","68.68588256835938","143","143","143","74.50350952148438","74.50350952148438","74.50350952148438","143","143","143","76.83921813964844","76.83921813964844","76.83921813964844","315.5","143","488","120.50479125976562","113.58893585205078","127.42064666748047","315.5","143","488","82.8338623046875","81.92183685302734","83.74588775634766"
"1461","151","151","151","155.7292022705078","155.7292022705078","155.7292022705078","146","146","146","64.9549560546875","64.9549560546875","64.9549560546875","146","146","146","70.98331451416016","70.98331451416016","70.98331451416016","146","146","146","72.89134216308594","72.89134216308594","72.89134216308594","146","146","146","74.38717651367188","74.38717651367188","74.38717651367188","318.5","146","491","121.54013442993164","113.74884796142578","129.3314208984375","318.5","146","491","82.5295295715332","82.32672119140625","82.73233795166016"
"1478","152","152","152","155.36322021484375","155.36322021484375","155.36322021484375","147","147","147","65.60320281982422","65.60320281982422","65.60320281982422","147","147","147","68.56056213378906","68.56056213378906","68.56056213378906","147","147","147","71.0631103515625","71.0631103515625","71.0631103515625","147","147","147","79.27714538574219","79.27714538574219","79.27714538574219","319.5","147","492","119.9095458984375","113.89006805419922","125.92902374267578","319.5","147","492","79.82999801635742","79.17095947265625","80.4890365600586"
"1495","153","153","153","155.02655029296875","155.02655029296875","155.02655029296875","148","148","148","63.83327865600586","63.83327865600586","63.83327865600586","148","148","148","69.38213348388672","69.38213348388672","69.38213348388672","148","148","148","71.75190734863281","71.75190734863281","71.75190734863281","148","148","148","72.34320068359375","72.34320068359375","72.34320068359375","320.5","148","493","119.72697830200195","113.03865814208984","126.41529846191406","320.5","148","493","77.62765884399414","76.60169219970703","78.65362548828125"
"1512","156","156","156","154.60482788085938","154.60482788085938","154.60482788085938","151","151","151","64.52604675292969","64.52604675292969","64.52604675292969","151","151","151","68.28397369384766","68.28397369384766","68.28397369384766","151","151","151","72.84534454345703","72.84534454345703","72.84534454345703","151","151","151","71.48968505859375","71.48968505859375","71.48968505859375","323.5","151","496","118.74047470092773","109.97605895996094","127.50489044189453","323.5","151","496","81.3508071899414","81.29412078857422","81.4074935913086"
"1529","157","157","157","153.6756591796875","153.6756591796875","153.6756591796875","152","152","152","65.96175384521484","65.96175384521484","65.96175384521484","152","152","152","68.25607299804688","68.25607299804688","68.25607299804688","152","152","152","69.63237762451172","69.63237762451172","69.63237762451172","152","152","152","73.57537841796875","73.57537841796875","73.57537841796875","324.5","152","497","117.06177520751953","110.63872528076172","123.48482513427734","324.5","152","497","79.23064804077148","77.94647216796875","80.51482391357422"
"1546","158","158","158","153.76394653320312","153.76394653320312","153.76394653320312","153","153","153","66.84165954589844","66.84165954589844","66.84165954589844","153","153","153","68.97576141357422","68.97576141357422","68.97576141357422","153","153","153","73.10701751708984","73.10701751708984","73.10701751708984","153","153","153","73.34758758544922","73.34758758544922","73.34758758544922","325.5","153","498","116.35044479370117","108.11756896972656","124.58332061767578","325.5","153","498","78.81075286865234","77.94149780273438","79.68000793457031"
"1563","161","161","161","153.52894592285156","153.52894592285156","153.52894592285156","156","156","156","63.371620178222656","63.371620178222656","63.371620178222656","156","156","156","67.14503479003906","67.14503479003906","67.14503479003906","156","156","156","73.53427124023438","73.53427124023438","73.53427124023438","156","156","156","75.32225799560547","75.32225799560547","75.32225799560547","328.5","156","501","115.97702026367188","108.00789642333984","123.9461441040039","328.5","156","501","80.30671310424805","79.94593048095703","80.66749572753906"
"1580","162","162","162","153.1275634765625","153.1275634765625","153.1275634765625","157","157","157","66.38850402832031","66.38850402832031","66.38850402832031","157","157","157","70.24213409423828","70.24213409423828","70.24213409423828","157","157","157","71.21021270751953","71.21021270751953","71.21021270751953","157","157","157","71.69902038574219","71.69902038574219","71.69902038574219","329.5","157","502","115.5921630859375","108.62968444824219","122.55464172363281","329.5","157","502","81.69046401977539","79.6358871459961","83.74504089355469"
"1597","163","163","163","153.31512451171875","153.31512451171875","153.31512451171875","158","158","158","62.958919525146484","62.958919525146484","62.958919525146484","158","158","158","68.9238510131836","68.9238510131836","68.9238510131836","158","158","158","74.22943115234375","74.22943115234375","74.22943115234375","158","158","158","72.8675537109375","72.8675537109375","72.8675537109375","330.5","158","503","114.48490524291992","106.49104309082031","122.47876739501953","330.5","158","503","80.05940628051758","79.85455322265625","80.2642593383789"
"1614","166","166","166","151.84686279296875","151.84686279296875","151.84686279296875","161","161","161","65.75128173828125","65.75128173828125","65.75128173828125","161","161","161","64.7449722290039","64.7449722290039","64.7449722290039","161","161","161","68.31890869140625","68.31890869140625","68.31890869140625","161","161","161","72.6563491821289","72.6563491821289","72.6563491821289","333.5","161","506","115.0135383605957","109.71517944335938","120.31189727783203","333.5","161","506","81.96604537963867","80.74848937988281","83.18360137939453"
"1631","167","167","167","152.8429412841797","152.8429412841797","152.8429412841797","162","162","162","64.02633666992188","64.02633666992188","64.02633666992188","162","162","162","65.06908416748047","65.06908416748047","65.06908416748047","162","162","162","69.29066467285156","69.29066467285156","69.29066467285156","162","162","162","68.31700897216797","68.31700897216797","68.31700897216797","334.5","162","507","115.22218322753906","108.54422760009766","121.90013885498047","334.5","162","507","77.84529495239258","76.28130340576172","79.40928649902344"
"1648","168","168","168","151.5212860107422","151.5212860107422","151.5212860107422","163","163","163","64.16160583496094","64.16160583496094","64.16160583496094","163","163","163","67.24056243896484","67.24056243896484","67.24056243896484","163","163","163","70.48522186279297","70.48522186279297","70.48522186279297","163","163","163","72.154052734375","72.154052734375","72.154052734375","335.5","163","508","112.31106567382812","105.2168960571289","119.40523529052734","335.5","163","508","77.53223419189453","74.56600952148438","80.49845886230469"
"1665","171","171","171","150.7796173095703","150.7796173095703","150.7796173095703","166","166","166","64.55847930908203","64.55847930908203","64.55847930908203","166","166","166","70.11176300048828","70.11176300048828","70.11176300048828","166","166","166","72.4996566772461","72.4996566772461","72.4996566772461","166","166","166","72.50708770751953","72.50708770751953","72.50708770751953","338.5","166","511","111.59238815307617","104.55347442626953","118.63130187988281","338.5","166","511","77.82494354248047","76.8295669555664","78.82032012939453"
"1682","172","172","172","151.35435485839844","151.35435485839844","151.35435485839844","167","167","167","63.026153564453125","63.026153564453125","63.026153564453125","167","167","167","70.71048736572266","70.71048736572266","70.71048736572266","167","167","167","69.64604949951172","69.64604949951172","69.64604949951172","167","167","167","68.95799255371094","68.95799255371094","68.95799255371094","339.5","167","512","112.1775894165039","104.67909240722656","119.67608642578125","339.5","167","512","77.40532302856445","75.16920471191406","79.64144134521484"
"1699","177","177","177","150.29690551757812","150.29690551757812","150.29690551757812","172","172","172","63.69548034667969","63.69548034667969","63.69548034667969","172","172","172","66.28486633300781","66.28486633300781","66.28486633300781","172","172","172","69.98007202148438","69.98007202148438","69.98007202148438","172","172","172","74.6612777709961","74.6612777709961","74.6612777709961","344.5","172","517","109.12313842773438","102.31453704833984","115.9317398071289","344.5","172","517","76.19371032714844","74.10604858398438","78.2813720703125"
"1716","178","178","178","150.3563232421875","150.3563232421875","150.3563232421875","173","173","173","64.048095703125","64.048095703125","64.048095703125","173","173","173","67.59312438964844","67.59312438964844","67.59312438964844","173","173","173","67.06295776367188","67.06295776367188","67.06295776367188","173","173","173","72.02247619628906","72.02247619628906","72.02247619628906","345.5","173","518","112.1817626953125","105.49574279785156","118.86778259277344","345.5","173","518","77.25749588012695","77.0014419555664","77.5135498046875"
"1733","179","179","179","150.699462890625","150.699462890625","150.699462890625","174","174","174","64.61068725585938","64.61068725585938","64.61068725585938","174","174","174","64.48734283447266","64.48734283447266","64.48734283447266","174","174","174","68.3746566772461","68.3746566772461","68.3746566772461","174","174","174","70.23259735107422","70.23259735107422","70.23259735107422","346.5","174","519","112.77859878540039","106.17761993408203","119.37957763671875","346.5","174","519","78.75227355957031","77.79940795898438","79.70513916015625"
"1750","182","182","182","149.4193115234375","149.4193115234375","149.4193115234375","177","177","177","65.47673034667969","65.47673034667969","65.47673034667969","177","177","177","65.46881103515625","65.46881103515625","65.46881103515625","177","177","177","68.6709976196289","68.6709976196289","68.6709976196289","177","177","177","71.77433776855469","71.77433776855469","71.77433776855469","349.5","177","522","110.98310089111328","102.6130599975586","119.35314178466797","349.5","177","522","78.0678825378418","77.61366271972656","78.52210235595703"
"1767","183","183","183","148.52008056640625","148.52008056640625","148.52008056640625","178","178","178","64.1817398071289","64.1817398071289","64.1817398071289","178","178","178","63.050445556640625","63.050445556640625","63.050445556640625","178","178","178","67.81429290771484","67.81429290771484","67.81429290771484","178","178","178","72.47882080078125","72.47882080078125","72.47882080078125","350.5","178","523","107.86761474609375","99.34700775146484","116.38822174072266","350.5","178","523","76.44294357299805","75.36754608154297","77.51834106445312"
"1784","184","184","184","148.8583984375","148.8583984375","148.8583984375","179","179","179","62.34435272216797","62.34435272216797","62.34435272216797","179","179","179","67.92620849609375","67.92620849609375","67.92620849609375","179","179","179","68.38664245605469","68.38664245605469","68.38664245605469","179","179","179","68.6005859375","68.6005859375","68.6005859375","351.5","179","524","105.61678695678711","96.38752746582031","114.8460464477539","351.5","179","524","76.93593978881836","75.81886291503906","78.05301666259766"
"1801","187","187","187","148.66165161132812","148.66165161132812","148.66165161132812","182","182","182","62.099002838134766","62.099002838134766","62.099002838134766","182","182","182","64.24137878417969","64.24137878417969","64.24137878417969","182","182","182","66.68193817138672","66.68193817138672","66.68193817138672","182","182","182","68.05850982666016","68.05850982666016","68.05850982666016","354.5","182","527","107.33486557006836","100.04238891601562","114.6273422241211","354.5","182","527","79.11020278930664","78.88884735107422","79.33155822753906"
"1818","188","188","188","149.1598358154297","149.1598358154297","149.1598358154297","183","183","183","62.636741638183594","62.636741638183594","62.636741638183594","183","183","183","66.15763092041016","66.15763092041016","66.15763092041016","183","183","183","67.17189025878906","67.17189025878906","67.17189025878906","183","183","183","68.16674041748047","68.16674041748047","68.16674041748047","355.5","183","528","109.63004684448242","101.00426483154297","118.25582885742188","355.5","183","528","77.26613998413086","74.78123474121094","79.75104522705078"
"1835","189","189","189","147.75265502929688","147.75265502929688","147.75265502929688","184","184","184","67.27549743652344","67.27549743652344","67.27549743652344","184","184","184","62.69843673706055","62.69843673706055","62.69843673706055","184","184","184","71.40086364746094","71.40086364746094","71.40086364746094","184","184","184","66.31875610351562","66.31875610351562","66.31875610351562","356.5","184","529","106.38331985473633","97.86695861816406","114.8996810913086","356.5","184","529","74.17696380615234","72.85501098632812","75.49891662597656"
"1852","192","192","192","147.94485473632812","147.94485473632812","147.94485473632812","187","187","187","65.95830535888672","65.95830535888672","65.95830535888672","187","187","187","64.39561462402344","64.39561462402344","64.39561462402344","187","187","187","66.33373260498047","66.33373260498047","66.33373260498047","187","187","187","69.9724349975586","69.9724349975586","69.9724349975586","359.5","187","532","105.67910385131836","97.38996887207031","113.9682388305664","359.5","187","532","74.36671829223633","71.85462188720703","76.87881469726562"
"1869","193","193","193","147.5917510986328","147.5917510986328","147.5917510986328","188","188","188","67.25711059570312","67.25711059570312","67.25711059570312","188","188","188","65.5416259765625","65.5416259765625","65.5416259765625","188","188","188","66.31641387939453","66.31641387939453","66.31641387939453","188","188","188","66.95374298095703","66.95374298095703","66.95374298095703","360.5","188","533","103.41599655151367","95.78522491455078","111.04676818847656","360.5","188","533","77.34074020385742","76.33484649658203","78.34663391113281"
"1886","194","194","194","146.07205200195312","146.07205200195312","146.07205200195312","189","189","189","59.878517150878906","59.878517150878906","59.878517150878906","189","189","189","64.2274398803711","64.2274398803711","64.2274398803711","189","189","189","67.49894714355469","67.49894714355469","67.49894714355469","189","189","189","72.54539489746094","72.54539489746094","72.54539489746094","361.5","189","534","102.33422470092773","94.73114013671875","109.93730926513672","361.5","189","534","74.41658401489258","74.35299682617188","74.48017120361328"
"1903","197","197","197","144.6380157470703","144.6380157470703","144.6380157470703","192","192","192","61.73579406738281","61.73579406738281","61.73579406738281","192","192","192","67.26815032958984","67.26815032958984","67.26815032958984","192","192","192","71.57388305664062","71.57388305664062","71.57388305664062","192","192","192","74.39311218261719","74.39311218261719","74.39311218261719","364.5","192","537","104.01031875610352","96.27179718017578","111.74884033203125","364.5","192","537","70.93833923339844","69.93631744384766","71.94036102294922"
"1920","198","198","198","144.37408447265625","144.37408447265625","144.37408447265625","193","193","193","61.864715576171875","61.864715576171875","61.864715576171875","193","193","193","67.34825134277344","67.34825134277344","67.34825134277344","193","193","193","64.38663482666016","64.38663482666016","64.38663482666016","193","193","193","69.30233764648438","69.30233764648438","69.30233764648438","365.5","193","538","100.90216064453125","91.6107406616211","110.1935806274414","365.5","193","538","73.9538459777832","73.52815246582031","74.3795394897461"
"1937","199","199","199","143.03936767578125","143.03936767578125","143.03936767578125","194","194","194","62.76227569580078","62.76227569580078","62.76227569580078","194","194","194","62.42021560668945","62.42021560668945","62.42021560668945","194","194","194","67.53335571289062","67.53335571289062","67.53335571289062","194","194","194","68.79117584228516","68.79117584228516","68.79117584228516","366.5","194","539","102.64910507202148","93.74169921875","111.55651092529297","366.5","194","539","76.03102493286133","75.50191497802734","76.56013488769531"
"1954","202","202","202","143.774169921875","143.774169921875","143.774169921875","197","197","197","66.10397338867188","66.10397338867188","66.10397338867188","197","197","197","63.727169036865234","63.727169036865234","63.727169036865234","197","197","197","66.72091674804688","66.72091674804688","66.72091674804688","197","197","197","75.69570922851562","75.69570922851562","75.69570922851562","369.5","197","542","98.02685546875","92.67378234863281","103.37992858886719","369.5","197","542","76.38866424560547","73.97473907470703","78.8025894165039"
"1971","203","203","203","140.9578399658203","140.9578399658203","140.9578399658203","198","198","198","59.87945556640625","59.87945556640625","59.87945556640625","198","198","198","64.34281921386719","64.34281921386719","64.34281921386719","198","198","198","61.8577995300293","61.8577995300293","61.8577995300293","198","198","198","68.2112045288086","68.2112045288086","68.2112045288086","370.5","198","543","100.05692291259766","93.64422607421875","106.46961975097656","370.5","198","543","76.36602783203125","74.68773651123047","78.04431915283203"
"1988","204","204","204","143.4091339111328","143.4091339111328","143.4091339111328","199","199","199","60.65974426269531","60.65974426269531","60.65974426269531","199","199","199","60.40460968017578","60.40460968017578","60.40460968017578","199","199","199","63.900054931640625","63.900054931640625","63.900054931640625","199","199","199","71.11109924316406","71.11109924316406","71.11109924316406","371.5","199","544","100.18377685546875","94.7548599243164","105.6126937866211","371.5","199","544","73.20351028442383","70.99554443359375","75.4114761352539"
"2005","207","207","207","140.913330078125","140.913330078125","140.913330078125","202","202","202","62.11899948120117","62.11899948120117","62.11899948120117","202","202","202","61.792118072509766","61.792118072509766","61.792118072509766","202","202","202","69.02855682373047","69.02855682373047","69.02855682373047","202","202","202","73.11061096191406","73.11061096191406","73.11061096191406","374.5","202","547","101.24274826049805","94.08853149414062","108.39696502685547","374.5","202","547","72.17855072021484","71.71155548095703","72.64554595947266"
"2022","208","208","208","137.5830535888672","137.5830535888672","137.5830535888672","203","203","203","60.831905364990234","60.831905364990234","60.831905364990234","203","203","203","61.68405532836914","61.68405532836914","61.68405532836914","203","203","203","64.19119262695312","64.19119262695312","64.19119262695312","203","203","203","67.9353256225586","67.9353256225586","67.9353256225586","375.5","203","548","103.60173797607422","97.77163696289062","109.43183898925781","375.5","203","548","71.82056045532227","71.45515441894531","72.18596649169922"
"2039","209","209","209","139.81809997558594","139.81809997558594","139.81809997558594","204","204","204","60.133636474609375","60.133636474609375","60.133636474609375","204","204","204","59.907081604003906","59.907081604003906","59.907081604003906","204","204","204","67.65126037597656","67.65126037597656","67.65126037597656","204","204","204","65.65509796142578","65.65509796142578","65.65509796142578","376.5","204","549","96.90188598632812","88.82794189453125","104.975830078125","376.5","204","549","75.82379150390625","74.90556335449219","76.74201965332031"
"2056","212","212","212","134.5902557373047","134.5902557373047","134.5902557373047","207","207","207","59.83430480957031","59.83430480957031","59.83430480957031","207","207","207","63.4921875","63.4921875","63.4921875","207","207","207","65.75360107421875","65.75360107421875","65.75360107421875","207","207","207","66.67626953125","66.67626953125","66.67626953125","379.5","207","552","98.0090217590332","93.18841552734375","102.82962799072266","379.5","207","552","71.53567123413086","71.13642883300781","71.9349136352539"
"2073","213","213","213","135.55152893066406","135.55152893066406","135.55152893066406","208","208","208","60.36870574951172","60.36870574951172","60.36870574951172","208","208","208","60.32210922241211","60.32210922241211","60.32210922241211","208","208","208","63.651588439941406","63.651588439941406","63.651588439941406","208","208","208","66.65962219238281","66.65962219238281","66.65962219238281","380.5","208","553","95.9664306640625","88.59326934814453","103.33959197998047","380.5","208","553","70.9677848815918","67.95643615722656","73.97913360595703"
"2090","214","214","214","136.33590698242188","136.33590698242188","136.33590698242188","209","209","209","59.77886962890625","59.77886962890625","59.77886962890625","209","209","209","63.10950469970703","63.10950469970703","63.10950469970703","209","209","209","68.78195190429688","68.78195190429688","68.78195190429688","209","209","209","67.17436218261719","67.17436218261719","67.17436218261719","381.5","209","554","98.61316299438477","92.99457550048828","104.23175048828125","381.5","209","554","72.36088562011719","70.57485961914062","74.14691162109375"
"2107","217","217","217","137.54385375976562","137.54385375976562","137.54385375976562","212","212","212","60.16994094848633","60.16994094848633","60.16994094848633","212","212","212","63.11305618286133","63.11305618286133","63.11305618286133","212","212","212","68.10533905029297","68.10533905029297","68.10533905029297","212","212","212","68.30061340332031","68.30061340332031","68.30061340332031","384.5","212","557","94.92103958129883","88.73188781738281","101.11019134521484","384.5","212","557","71.08115005493164","70.31317138671875","71.84912872314453"
"2124","218","218","218","131.09532165527344","131.09532165527344","131.09532165527344","213","213","213","59.76628875732422","59.76628875732422","59.76628875732422","213","213","213","67.33216857910156","67.33216857910156","67.33216857910156","213","213","213","62.94206237792969","62.94206237792969","62.94206237792969","213","213","213","68.3702392578125","68.3702392578125","68.3702392578125","385.5","213","558","94.0674057006836","90.30339050292969","97.8314208984375","385.5","213","558","74.65501403808594","74.49349212646484","74.81653594970703"
"2141","219","219","219","138.27452087402344","138.27452087402344","138.27452087402344","214","214","214","58.742618560791016","58.742618560791016","58.742618560791016","214","214","214","65.0615005493164","65.0615005493164","65.0615005493164","214","214","214","62.80394744873047","62.80394744873047","62.80394744873047","214","214","214","68.19873046875","68.19873046875","68.19873046875","386.5","214","559","93.72869873046875","87.63758087158203","99.81981658935547","386.5","214","559","72.05018997192383","69.6183090209961","74.48207092285156"
"2158","222","222","222","131.27664184570312","131.27664184570312","131.27664184570312","217","217","217","62.39264678955078","62.39264678955078","62.39264678955078","217","217","217","60.75963592529297","60.75963592529297","60.75963592529297","217","217","217","64.54124450683594","64.54124450683594","64.54124450683594","217","217","217","62.22344970703125","62.22344970703125","62.22344970703125","389.5","217","562","92.73508834838867","88.09026336669922","97.37991333007812","389.5","217","562","71.84854888916016","69.0718765258789","74.6252212524414"
"2175","223","223","223","130.55453491210938","130.55453491210938","130.55453491210938","218","218","218","59.3545036315918","59.3545036315918","59.3545036315918","218","218","218","60.88431167602539","60.88431167602539","60.88431167602539","218","218","218","66.7627182006836","66.7627182006836","66.7627182006836","218","218","218","63.29573440551758","63.29573440551758","63.29573440551758","390.5","218","563","94.58404922485352","92.36229705810547","96.80580139160156","390.5","218","563","73.57763290405273","73.42091369628906","73.7343521118164"
"2192","224","224","224","133.0373992919922","133.0373992919922","133.0373992919922","219","219","219","65.01763153076172","65.01763153076172","65.01763153076172","219","219","219","59.138038635253906","59.138038635253906","59.138038635253906","219","219","219","66.55943298339844","66.55943298339844","66.55943298339844","219","219","219","66.59140014648438","66.59140014648438","66.59140014648438","391.5","219","564","96.44726943969727","91.23408508300781","101.66045379638672","391.5","219","564","72.3127555847168","71.86112976074219","72.7643814086914"
"2209","227","227","227","130.69944763183594","130.69944763183594","130.69944763183594","222","222","222","59.943626403808594","59.943626403808594","59.943626403808594","222","222","222","62.05291748046875","62.05291748046875","62.05291748046875","222","222","222","63.79009246826172","63.79009246826172","63.79009246826172","222","222","222","67.12950897216797","67.12950897216797","67.12950897216797","394.5","222","567","95.27875518798828","91.56643676757812","98.99107360839844","394.5","222","567","71.36060333251953","70.04300689697266","72.6781997680664"
"2226","228","228","228","130.52748107910156","130.52748107910156","130.52748107910156","223","223","223","60.50602340698242","60.50602340698242","60.50602340698242","223","223","223","58.02640151977539","58.02640151977539","58.02640151977539","223","223","223","60.9976692199707","60.9976692199707","60.9976692199707","223","223","223","67.68822479248047","67.68822479248047","67.68822479248047","395.5","223","568","92.8212890625","85.54769134521484","100.09488677978516","395.5","223","568","67.80201721191406","67.70094299316406","67.90309143066406"
"2243","229","229","229","132.31344604492188","132.31344604492188","132.31344604492188","224","224","224","63.45075988769531","63.45075988769531","63.45075988769531","224","224","224","61.9979133605957","61.9979133605957","61.9979133605957","224","224","224","63.66520690917969","63.66520690917969","63.66520690917969","224","224","224","67.44276428222656","67.44276428222656","67.44276428222656","396.5","224","569","93.05978012084961","87.72152709960938","98.39803314208984","396.5","224","569","67.29408264160156","64.69027709960938","69.89788818359375"
"2260","232","232","232","127.15657043457031","127.15657043457031","127.15657043457031","227","227","227","53.920047760009766","53.920047760009766","53.920047760009766","227","227","227","60.19337844848633","60.19337844848633","60.19337844848633","227","227","227","64.60137939453125","64.60137939453125","64.60137939453125","227","227","227","70.56144714355469","70.56144714355469","70.56144714355469","399.5","227","572","91.82106399536133","88.68998718261719","94.95214080810547","399.5","227","572","68.1387939453125","65.01807403564453","71.25951385498047"
"2277","233","233","233","130.4555206298828","130.4555206298828","130.4555206298828","228","228","228","59.334224700927734","59.334224700927734","59.334224700927734","228","228","228","57.92946243286133","57.92946243286133","57.92946243286133","228","228","228","63.813385009765625","63.813385009765625","63.813385009765625","228","228","228","65.70634460449219","65.70634460449219","65.70634460449219","400.5","228","573","89.45212936401367","85.2097396850586","93.69451904296875","400.5","228","573","67.2580451965332","64.5057373046875","70.0103530883789"
"2294","234","234","234","126.3770523071289","126.3770523071289","126.3770523071289","229","229","229","58.08591079711914","58.08591079711914","58.08591079711914","229","229","229","61.39128494262695","61.39128494262695","61.39128494262695","229","229","229","60.511474609375","60.511474609375","60.511474609375","229","229","229","68.10326385498047","68.10326385498047","68.10326385498047","401.5","229","574","91.28055953979492","85.71186828613281","96.84925079345703","401.5","229","574","67.10696411132812","66.35154724121094","67.86238098144531"
"2311","237","237","237","126.35693359375","126.35693359375","126.35693359375","232","232","232","60.48350143432617","60.48350143432617","60.48350143432617","232","232","232","57.574867248535156","57.574867248535156","57.574867248535156","232","232","232","65.45710754394531","65.45710754394531","65.45710754394531","232","232","232","61.329017639160156","61.329017639160156","61.329017639160156","404.5","232","577","89.52849578857422","80.79095458984375","98.26603698730469","404.5","232","577","69.8388442993164","68.95098114013672","70.7267074584961"
"2328","238","238","238","130.78851318359375","130.78851318359375","130.78851318359375","233","233","233","59.12331771850586","59.12331771850586","59.12331771850586","233","233","233","58.407928466796875","58.407928466796875","58.407928466796875","233","233","233","59.944820404052734","59.944820404052734","59.944820404052734","233","233","233","65.06822967529297","65.06822967529297","65.06822967529297","405.5","233","578","89.85530471801758","84.73329162597656","94.9773178100586","405.5","233","578","70.32765579223633","69.88307189941406","70.7722396850586"
