"trainer/global_step","finetune-200-epochs-from-new-weights - _step","finetune-200-epochs-from-new-weights - _step__MIN","finetune-200-epochs-from-new-weights - _step__MAX","finetune-200-epochs-from-new-weights - val_mean_loss_mask","finetune-200-epochs-from-new-weights - val_mean_loss_mask__MIN","finetune-200-epochs-from-new-weights - val_mean_loss_mask__MAX","finetune-200-epochs-from-synthetic-1399-epochs - _step","finetune-200-epochs-from-synthetic-1399-epochs - _step__MIN","finetune-200-epochs-from-synthetic-1399-epochs - _step__MAX","finetune-200-epochs-from-synthetic-1399-epochs - val_mean_loss_mask","finetune-200-epochs-from-synthetic-1399-epochs - val_mean_loss_mask__MIN","finetune-200-epochs-from-synthetic-1399-epochs - val_mean_loss_mask__MAX","finetune-200-epochs-from-synthetic-1199-epochs - _step","finetune-200-epochs-from-synthetic-1199-epochs - _step__MIN","finetune-200-epochs-from-synthetic-1199-epochs - _step__MAX","finetune-200-epochs-from-synthetic-1199-epochs - val_mean_loss_mask","finetune-200-epochs-from-synthetic-1199-epochs - val_mean_loss_mask__MIN","finetune-200-epochs-from-synthetic-1199-epochs - val_mean_loss_mask__MAX","finetune-200-epochs-from-synthetic-999-epochs - _step","finetune-200-epochs-from-synthetic-999-epochs - _step__MIN","finetune-200-epochs-from-synthetic-999-epochs - _step__MAX","finetune-200-epochs-from-synthetic-999-epochs - val_mean_loss_mask","finetune-200-epochs-from-synthetic-999-epochs - val_mean_loss_mask__MIN","finetune-200-epochs-from-synthetic-999-epochs - val_mean_loss_mask__MAX","finetune-200-epochs-from-synthetic-799-epochs - _step","finetune-200-epochs-from-synthetic-799-epochs - _step__MIN","finetune-200-epochs-from-synthetic-799-epochs - _step__MAX","finetune-200-epochs-from-synthetic-799-epochs - val_mean_loss_mask","finetune-200-epochs-from-synthetic-799-epochs - val_mean_loss_mask__MIN","finetune-200-epochs-from-synthetic-799-epochs - val_mean_loss_mask__MAX","finetune-200-epochs-from-synthetic-199-epochs - _step","finetune-200-epochs-from-synthetic-199-epochs - _step__MIN","finetune-200-epochs-from-synthetic-199-epochs - _step__MAX","finetune-200-epochs-from-synthetic-199-epochs - val_mean_loss_mask","finetune-200-epochs-from-synthetic-199-epochs - val_mean_loss_mask__MIN","finetune-200-epochs-from-synthetic-199-epochs - val_mean_loss_mask__MAX","finetune-200-epochs-from-synthetic-599-epochs - _step","finetune-200-epochs-from-synthetic-599-epochs - _step__MIN","finetune-200-epochs-from-synthetic-599-epochs - _step__MAX","finetune-200-epochs-from-synthetic-599-epochs - val_mean_loss_mask","finetune-200-epochs-from-synthetic-599-epochs - val_mean_loss_mask__MIN","finetune-200-epochs-from-synthetic-599-epochs - val_mean_loss_mask__MAX"
"849","86","86","86","1.3668750524520874","1.3668750524520874","1.3668750524520874","85","85","85","0.6467152237892151","0.6467152237892151","0.6467152237892151","85","85","85","0.6759840846061707","0.6759840846061707","0.6759840846061707","85","85","85","0.8260177373886108","0.8260177373886108","0.8260177373886108","85","85","85","0.7903147339820862","0.7903147339820862","0.7903147339820862","257.5","85","430","1.1976858377456665","1.1965253353118896","1.1988463401794434","257.5","85","430","0.8957691192626953","0.8809519410133362","0.9105862975120544"
"1699","176","176","176","1.2833919525146484","1.2833919525146484","1.2833919525146484","171","171","171","0.5586225986480713","0.5586225986480713","0.5586225986480713","171","171","171","0.5036240220069885","0.5036240220069885","0.5036240220069885","171","171","171","0.5758948922157288","0.5758948922157288","0.5758948922157288","171","171","171","0.538357138633728","0.538357138633728","0.538357138633728","343.5","171","516","0.9243651628494263","0.8938007950782776","0.954929530620575","343.5","171","516","0.7052306830883026","0.6768063902854919","0.7336549758911133"
"2549","262","262","262","1.0472105741500854","1.0472105741500854","1.0472105741500854","257","257","257","0.4780275523662567","0.4780275523662567","0.4780275523662567","257","257","257","0.5007188320159912","0.5007188320159912","0.5007188320159912","257","257","257","0.46640586853027344","0.46640586853027344","0.46640586853027344","257","257","257","0.4920384883880615","0.4920384883880615","0.4920384883880615","429.5","257","602","0.8216598033905029","0.766385555267334","0.8769340515136719","429.5","257","602","0.5946439802646637","0.5694201588630676","0.6198678016662598"
"3399","348","348","348","0.8037740588188171","0.8037740588188171","0.8037740588188171","343","343","343","0.5433079600334167","0.5433079600334167","0.5433079600334167","343","343","343","0.4500506520271301","0.4500506520271301","0.4500506520271301","343","343","343","0.5380691885948181","0.5380691885948181","0.5380691885948181","343","343","343","0.4624905288219452","0.4624905288219452","0.4624905288219452","515.5","343","688","0.6513509154319763","0.6483553647994995","0.6543464660644531","515.5","343","688","0.5040326118469238","0.45634710788726807","0.5517181158065796"
"4249","434","434","434","0.8202290534973145","0.8202290534973145","0.8202290534973145","429","429","429","0.387591153383255","0.387591153383255","0.387591153383255","429","429","429","0.4218226671218872","0.4218226671218872","0.4218226671218872","429","429","429","0.4927539825439453","0.4927539825439453","0.4927539825439453","429","429","429","0.45509791374206543","0.45509791374206543","0.45509791374206543","774","774","774","0.6001167297363281","0.6001167297363281","0.6001167297363281","774","774","774","0.4692482054233551","0.4692482054233551","0.4692482054233551"
"5099","520","520","520","0.5754011273384094","0.5754011273384094","0.5754011273384094","515","515","515","0.4635404348373413","0.4635404348373413","0.4635404348373413","515","515","515","0.3952581584453583","0.3952581584453583","0.3952581584453583","515","515","515","0.4185987412929535","0.4185987412929535","0.4185987412929535","515","515","515","0.3921225666999817","0.3921225666999817","0.3921225666999817","860","860","860","0.5178098082542419","0.5178098082542419","0.5178098082542419","860","860","860","0.4531044661998749","0.4531044661998749","0.4531044661998749"
"5949","606","606","606","0.6710968613624573","0.6710968613624573","0.6710968613624573","601","601","601","0.3497732877731323","0.3497732877731323","0.3497732877731323","601","601","601","0.41674479842185974","0.41674479842185974","0.41674479842185974","","","","","","","601","601","601","0.3745873272418976","0.3745873272418976","0.3745873272418976","946","946","946","0.47366076707839966","0.47366076707839966","0.47366076707839966","946","946","946","0.39235585927963257","0.39235585927963257","0.39235585927963257"
"6799","692","692","692","0.7252582907676697","0.7252582907676697","0.7252582907676697","687","687","687","0.35938411951065063","0.35938411951065063","0.35938411951065063","687","687","687","0.419426828622818","0.419426828622818","0.419426828622818","","","","","","","687","687","687","0.4417787492275238","0.4417787492275238","0.4417787492275238","1032","1032","1032","0.5782234072685242","0.5782234072685242","0.5782234072685242","1032","1032","1032","0.3888867199420929","0.3888867199420929","0.3888867199420929"
